unified_id,source_file,type,price,area,bedrooms,bathrooms,city,region,address,level,furnished,rent,lat,lng
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_772,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,55000.0,200.0,,,cairo,Stone Residence - PRE,Stone Residence Compound New Cairo  كمبوند ستون ريزيدنس التجمع القاهرة الجديدة,,,,29.979758271745,31.385534685105
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_773,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,18000.0,140.0,,,cairo,El Mariotia,المريوطية,,,,29.99,31.152
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_774,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,15000.0,101.0,,,cairo,King Faisal St,فيصل,,,,30.009,31.189
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_775,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,35000.0,240.0,,,cairo,El Fedaa Compound,"كمبوند الفداء, كمبوند في ٦ اكتوبر",,,,30.006,31.007
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_776,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,145.0,,,cairo,The Village Compound - Palm Hills,The Village Compound - Palm Hills، Compounds in New Cairo,,,,30.021079037308,31.493793837726
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_778,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,80000.0,160.0,,,cairo,Z Tower - ZED El Sheikh Zayed Compound,"زد تاور - كمبوند زيد الشيخ زايد, كمبوند زيد الشيخ زايد - اورا",,,,30.0467361,31.0018266
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_779,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,9000.0,100.0,,,alexandria,Miami,ميامي,,,,31.267,29.993
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_780,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,60000.0,167.0,,,cairo,Fifth Square Compound - AlMarasem,Apartment for rent in Al Marasem Compound,,,,30.0477089,31.5372037
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_781,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,250.0,,,cairo,Taha Hussein St.,التجمع الاول ,,,,30.03624455,31.42292295
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_782,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,100000.0,240.0,,,cairo,Boulevard Residence Mivida,"Mivida Compound, Fifth Settlement, New Cairo",,,,30.010861899984,31.542700379068
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_783,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,110000.0,205.0,,,cairo,Lake View Residence - El Hazek,"ليك فيو ريزيدنس - الحاذق, كمبوند بالتجمع الخامس",,,,30.024344232386,31.53848497197
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_784,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,85000.0,191.0,,,cairo,Boulevard Residence Mivida,"Mivida Compound, Fifth Settlement, New Cairo",,,,30.010861899984,31.542700379068
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_785,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,7500.0,85.0,,,cairo,Faisal,فيصل,,,,30.023,31.17
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_786,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,35000.0,120.0,,,cairo,Gardenia City,جاردينيا سيتي مدينة نصر,,,,30.061,31.394
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_787,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,10000.0,85.0,,,cairo,El Zomor Canal St.,"شارع ترعة الزمر, الجيزة",,,,30.051302623912182,31.190751640970117
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_788,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,40000.0,140.0,,,cairo,Azad Compound - Tameer,"AZAD Compound, 5th Settlement",,,,30.014,31.507
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_789,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,45000.0,90.0,,,cairo,Amr Ibn El-Aas St.,"شارع عمرو بن العاص, المرحله الثانيه",,,,30.06129761,31.48795817
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_790,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,25000.0,130.0,,,alexandria,El Chatby,الشاطبي,,,,31.208,29.914
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_791,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,65000.0,220.0,,,cairo,El Farik Mohammed Ibrahim St.,الفريق محمد ابراهيم,,,,30.05634104,31.3416667
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_792,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,60000.0,160.0,,,cairo,90 Avenue Compound - Tabarak,Compound 90 Avenue Fifth Settlement New Cairo  كمبوند 90 افينيو التجمع القاهرة الجديدة,,,,30.023,31.493
json_dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json_idx_793,dataset_agarmap-cheerio_2026-01-27_17-34-22-862.json,,23000.0,130.0,,,cairo,El Kornfol 4,شقة للايجار بموقع مميز  :  دار مصر القرنفل  - التجمع الاول,,,,30.051217624841993,31.524890511209378
